source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,Australia,2462450191.311306
mining,Australia,processing,Brazil,9160586.083331468
mining,Australia,processing,China,1335827253.8755722
mining,Australia,processing,Indonesia,14071426.362444777
mining,Australia,processing,Japan,217957198.9250271
mining,Australia,processing,USA,36400314.976823024
mining,Australia,processing,EU27,231130528.73751497
mining,Australia,processing,other,1498614267.3610191
mining,Brazil,processing,Australia,8087052.060288079
mining,Brazil,processing,Brazil,4833439016.692911
mining,Brazil,processing,China,857184842.9648072
mining,Brazil,processing,Indonesia,3550618.1067303265
mining,Brazil,processing,Japan,34847247.118393704
mining,Brazil,processing,USA,94980528.27307713
mining,Brazil,processing,EU27,723587411.697999
mining,Brazil,processing,other,1010046059.8674936
mining,China,processing,Australia,137307075.3177864
mining,China,processing,Brazil,123610634.74806704
mining,China,processing,China,166795806597.22403
mining,China,processing,Indonesia,83681736.28796004
mining,China,processing,Japan,228801666.94543886
mining,China,processing,USA,510370168.24796414
mining,China,processing,EU27,1353659120.5970075
mining,China,processing,other,4594612642.088948
mining,Indonesia,processing,Australia,70680113.42395866
mining,Indonesia,processing,Brazil,4503513.1740509905
mining,Indonesia,processing,China,1389858167.666338
mining,Indonesia,processing,Indonesia,6518323629.542273
mining,Indonesia,processing,Japan,165992799.79824874
mining,Indonesia,processing,USA,29368463.14388597
mining,Indonesia,processing,EU27,102048435.18417956
mining,Indonesia,processing,other,3169506622.261705
mining,Japan,processing,Australia,14941182.624285389
mining,Japan,processing,Brazil,33687703.58417143
mining,Japan,processing,China,1765488821.2419972
mining,Japan,processing,Indonesia,20204650.336523756
mining,Japan,processing,Japan,3099422166.348617
mining,Japan,processing,USA,50656442.60951611
mining,Japan,processing,EU27,189751033.56484345
mining,Japan,processing,other,567293220.9564514
mining,USA,processing,Australia,28625722.225112632
mining,USA,processing,Brazil,66659757.114074655
mining,USA,processing,China,2268187750.207491
mining,USA,processing,Indonesia,8914633.43295234
mining,USA,processing,Japan,167518479.34951115
mining,USA,processing,USA,7682054495.755942
mining,USA,processing,EU27,859792475.9361249
mining,USA,processing,other,2500763936.120937
mining,EU27,processing,Australia,38135262.89187593
mining,EU27,processing,Brazil,60619742.94347918
mining,EU27,processing,China,4687885157.526642
mining,EU27,processing,Indonesia,40550289.91302651
mining,EU27,processing,Japan,70374751.76052673
mining,EU27,processing,USA,311506960.31437314
mining,EU27,processing,EU27,20185059921.626106
mining,EU27,processing,other,2185510284.488413
mining,other,processing,Australia,445487804.0582142
mining,other,processing,Brazil,694448665.0205051
mining,other,processing,China,32338991866.940357
mining,other,processing,Indonesia,253675376.65805143
mining,other,processing,Japan,3042148806.5877166
mining,other,processing,USA,2421477828.3499074
mining,other,processing,EU27,8690243751.815792
mining,other,processing,other,116133672470.51999
processing,Australia,consumption,Australia,1030962044.2138717
processing,Australia,consumption,Brazil,16959855.654340424
processing,Australia,consumption,China,747679092.1676781
processing,Australia,consumption,Indonesia,51671449.977900386
processing,Australia,consumption,Japan,146244920.60734773
processing,Australia,consumption,USA,186570430.8057772
processing,Australia,consumption,EU27,165295242.10263407
processing,Australia,consumption,other,860331368.3832757
processing,Brazil,consumption,Australia,13600537.102390537
