source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,Australia,5.402252352639412
mining,Australia,processing,Brazil,0.021022832298340257
mining,Australia,processing,China,4.234476609506906
mining,Australia,processing,Indonesia,0.048136811280169466
mining,Australia,processing,Japan,0.6421398202302216
mining,Australia,processing,USA,0.10801062496692018
mining,Australia,processing,EU27,0.6135657613654876
mining,Australia,processing,other,2.516324322671449
mining,Brazil,processing,Australia,0.03467623243751061
mining,Brazil,processing,Brazil,15.006162239197218
mining,Brazil,processing,China,2.739483290509246
mining,Brazil,processing,Indonesia,0.020397318878561402
mining,Brazil,processing,Japan,0.08199384238668593
mining,Brazil,processing,USA,0.2779548860438833
mining,Brazil,processing,EU27,0.7107922232324821
mining,Brazil,processing,other,2.3936773250060694
mining,China,processing,Australia,1.7467344466027144
mining,China,processing,Brazil,1.7027726625176203
mining,China,processing,China,673.8855753023541
mining,China,processing,Indonesia,1.1418402197605273
mining,China,processing,Japan,2.264108225503508
mining,China,processing,USA,4.458701708735502
mining,China,processing,EU27,14.254063426667695
mining,China,processing,other,48.733501554507484
mining,Indonesia,processing,Australia,0.04363706906801869
mining,Indonesia,processing,Brazil,0.009689872921332554
mining,Indonesia,processing,China,1.064110114593073
mining,Indonesia,processing,Indonesia,2.7700787890286356
mining,Indonesia,processing,Japan,0.11388142015510301
mining,Indonesia,processing,USA,0.03797346242585711
mining,Indonesia,processing,EU27,0.2032957185570512
mining,Indonesia,processing,other,0.8135289697685986
mining,Japan,processing,Australia,0.01737412128327568
mining,Japan,processing,Brazil,0.011719237543510517
mining,Japan,processing,China,1.9541612512842232
mining,Japan,processing,Indonesia,0.03513548265813193
mining,Japan,processing,Japan,5.649745838930958
mining,Japan,processing,USA,0.08000787309514684
mining,Japan,processing,EU27,0.13698969167518565
mining,Japan,processing,other,1.0906668961646933
mining,USA,processing,Australia,0.5095747564738293
mining,USA,processing,Brazil,0.6557942299157143
mining,USA,processing,China,55.97986746548674
mining,USA,processing,Indonesia,0.2833762108026908
mining,USA,processing,Japan,1.0484414012059964
mining,USA,processing,USA,15.48969965048473
mining,USA,processing,EU27,6.767888491598237
mining,USA,processing,other,30.372245495892578
mining,EU27,processing,Australia,0.1739302537875947
mining,EU27,processing,Brazil,0.19506829078012264
mining,EU27,processing,China,8.9844224589933
mining,EU27,processing,Indonesia,0.08130244843170462
mining,EU27,processing,Japan,0.19927172179392413
mining,EU27,processing,USA,0.861022010160486
mining,EU27,processing,EU27,45.25791541917858
mining,EU27,processing,other,8.991183232695585
mining,other,processing,Australia,6.443377863111654
mining,other,processing,Brazil,4.8029628791640375
mining,other,processing,China,343.48347905941597
mining,other,processing,Indonesia,4.119186260612619
mining,other,processing,Japan,13.010084888017936
mining,other,processing,USA,25.25703636003169
mining,other,processing,EU27,98.18249322736766
mining,other,processing,other,844.5306175437463
processing,Australia,consumption,Australia,4.950952301093334
processing,Australia,consumption,Brazil,0.07221624175916502
processing,Australia,consumption,China,3.263170281411885
