source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,coal,0.01731750238063372
mining,Australia,processing,nickel,0.00464693603305438
mining,Australia,processing,iron,0.05934476074480623
mining,Australia,processing,copper,0.00784222097332501
mining,Australia,processing,aluminium,0.047745257432328964
mining,Australia,processing,precious_metals,0.013388099733408048
mining,Australia,processing,other_metals,0.010834358195639132
mining,Australia,processing,non_mining,0.0014786915407011727
mining,Brazil,processing,coal,0.0007798593168733248
mining,Brazil,processing,nickel,0.0010915569763609767
mining,Brazil,processing,iron,0.020443996268011907
mining,Brazil,processing,copper,0.001778760232899833
mining,Brazil,processing,aluminium,0.016247886726291502
mining,Brazil,processing,precious_metals,0.0026578754392482286
mining,Brazil,processing,other_metals,0.001158401868817044
mining,Brazil,processing,non_mining,0.00015326511131051907
mining,China,processing,coal,0.004726708016181941
mining,China,processing,nickel,0.00021995813176315724
mining,China,processing,iron,0.015278950400392326
mining,China,processing,copper,0.001790860886750259
mining,China,processing,aluminium,0.004521713435937932
mining,China,processing,precious_metals,0.0028336081740868956
mining,China,processing,other_metals,0.003566737961734849
mining,China,processing,non_mining,8.696717313501205e-05
mining,Indonesia,processing,coal,0.062439598674881004
mining,Indonesia,processing,nickel,0.01562872981513955
mining,Indonesia,processing,iron,0.0
mining,Indonesia,processing,copper,0.014518324232283176
mining,Indonesia,processing,aluminium,0.007456916596444282
mining,Indonesia,processing,precious_metals,0.015069753020277805
mining,Indonesia,processing,other_metals,0.008531209860938761
mining,Indonesia,processing,non_mining,2.6420284777908572e-05
mining,Japan,processing,coal,0.0
mining,Japan,processing,nickel,0.0
mining,Japan,processing,iron,0.0
mining,Japan,processing,copper,0.0
mining,Japan,processing,aluminium,0.0
mining,Japan,processing,precious_metals,8.236981511781051e-05
mining,Japan,processing,other_metals,0.0
mining,Japan,processing,non_mining,0.0
mining,Netherlands,processing,coal,0.0
mining,Netherlands,processing,nickel,0.0
mining,Netherlands,processing,iron,0.0
mining,Netherlands,processing,copper,0.0
mining,Netherlands,processing,aluminium,0.0
mining,Netherlands,processing,precious_metals,0.0
mining,Netherlands,processing,other_metals,0.0
mining,Netherlands,processing,non_mining,0.0
mining,other,processing,coal,0.024626899155195968
mining,other,processing,nickel,0.22904376610285093
mining,other,processing,iron,0.038470158970670326
mining,other,processing,copper,0.08850844177186719
mining,other,processing,aluminium,0.07332321866398973
mining,other,processing,precious_metals,0.12966504494840597
mining,other,processing,other_metals,0.04810095433192886
mining,other,processing,non_mining,0.0045732606015383695
processing,coal,consumption,nickel,4.961236525702611e-05
processing,coal,consumption,iron,0.07832875586958533
processing,coal,consumption,copper,0.006482804476633876
processing,coal,consumption,aluminium,0.0074061978547575805
processing,coal,consumption,precious_metals,0.004506013516694289
processing,coal,consumption,other_metals,0.013117183460837855
processing,nickel,consumption,nickel,0.05493312419151243
processing,nickel,consumption,iron,0.11891252437351651
processing,nickel,consumption,copper,0.007340287370521596
processing,nickel,consumption,aluminium,0.012258129992795375
processing,nickel,consumption,precious_metals,0.0022244734404402136
processing,nickel,consumption,other_metals,0.054962407690382874
processing,iron,consumption,nickel,5.253420718622999e-06
processing,iron,consumption,iron,0.12797791969932248
processing,iron,consumption,copper,0.001842408292622675
processing,iron,consumption,aluminium,0.0009336797434530478
processing,iron,consumption,precious_metals,0.0006062063248288897
processing,iron,consumption,other_metals,0.002172398902935063
processing,copper,consumption,nickel,3.74128160769202e-05
processing,copper,consumption,iron,0.005906110361932497
processing,copper,consumption,copper,0.09848878130799861
processing,copper,consumption,aluminium,0.001517951559229793
processing,copper,consumption,precious_metals,0.0030481090049073187
processing,copper,consumption,other_metals,0.00544024304698034
processing,aluminium,consumption,nickel,5.582329403270111e-06
processing,aluminium,consumption,iron,0.0059256826628997636
processing,aluminium,consumption,copper,0.0026084230883972616
processing,aluminium,consumption,aluminium,0.13711582651963775
processing,aluminium,consumption,precious_metals,0.0008952632480053778
processing,aluminium,consumption,other_metals,0.002744215006649004
processing,precious_metals,consumption,nickel,0.0002753249233614803
processing,precious_metals,consumption,iron,0.007797681921943739
processing,precious_metals,consumption,copper,0.007984044788314451
processing,precious_metals,consumption,aluminium,0.0019311391205605723
processing,precious_metals,consumption,precious_metals,0.13772378140917463
processing,precious_metals,consumption,other_metals,0.007984778967189866
processing,other_metals,consumption,nickel,0.00020103668006418005
processing,other_metals,consumption,iron,0.012340963179360325
processing,other_metals,consumption,copper,0.0029609785931749956
processing,other_metals,consumption,aluminium,0.0020827612084568696
processing,other_metals,consumption,precious_metals,0.0010151179950714901
processing,other_metals,consumption,other_metals,0.05359080456293079
processing,non_mining,consumption,nickel,9.082502120333573e-06
processing,non_mining,consumption,iron,0.0022782903191853688
processing,non_mining,consumption,copper,0.00031763257354490063
processing,non_mining,consumption,aluminium,0.0005769941999791224
processing,non_mining,consumption,precious_metals,0.0003797214031022672
processing,non_mining,consumption,other_metals,0.002756883713530988
consumption,nickel,End-use,Australia,0.00010394697422326915
consumption,nickel,End-use,Brazil,7.95377330540024e-05
consumption,nickel,End-use,China,1.7137495710357238e-06
consumption,nickel,End-use,Indonesia,0.0026927337548201965
consumption,nickel,End-use,Japan,0.0
consumption,nickel,End-use,Netherlands,0.0
consumption,nickel,End-use,other,0.052638497016845726
consumption,iron,End-use,Australia,0.012876365059780105
consumption,iron,End-use,Brazil,0.007967790586343379
consumption,iron,End-use,China,0.1707312205781695
consumption,iron,End-use,Indonesia,0.005160925460056526
