source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,coal,0.00696113143401824
mining,Australia,processing,nickel,6.068593376545894e-06
mining,Australia,processing,iron,0.0011402250546993103
mining,Australia,processing,copper,0.0002625557185742586
mining,Australia,processing,aluminium,0.0015016942866309616
mining,Australia,processing,precious_metals,0.0006284905259622008
mining,Australia,processing,other_metals,0.0006879407140971564
mining,Australia,processing,non_mining,0.004762156795600121
mining,Brazil,processing,coal,0.0007317138561212019
mining,Brazil,processing,nickel,3.2794647509239414e-05
mining,Brazil,processing,iron,0.00833048840150054
mining,Brazil,processing,copper,0.0009511232789098771
mining,Brazil,processing,aluminium,0.0028201801634580434
mining,Brazil,processing,precious_metals,0.00032209219215921823
mining,Brazil,processing,other_metals,0.003253547379137672
mining,Brazil,processing,non_mining,0.006255219602496643
mining,China,processing,coal,0.04010270986249984
mining,China,processing,nickel,0.0012246109839625528
mining,China,processing,iron,0.18073839997043512
mining,China,processing,copper,0.00626829687798647
mining,China,processing,aluminium,0.007980428693351626
mining,China,processing,precious_metals,0.004244558964160664
mining,China,processing,other_metals,0.06395048033778007
mining,China,processing,non_mining,0.22267761481973086
mining,Indonesia,processing,coal,0.008864093263694982
mining,Indonesia,processing,nickel,7.731575884834051e-06
mining,Indonesia,processing,iron,0.00037123212291168803
mining,Indonesia,processing,copper,0.0011669794018980895
mining,Indonesia,processing,aluminium,6.761540600643921e-05
mining,Indonesia,processing,precious_metals,6.259384550084879e-05
mining,Indonesia,processing,other_metals,0.00016141048363223727
mining,Indonesia,processing,non_mining,0.002320698919197612
mining,Japan,processing,coal,0.004402470071634441
mining,Japan,processing,nickel,0.0
mining,Japan,processing,iron,0.01574154829943003
mining,Japan,processing,copper,0.0003819283320720642
mining,Japan,processing,aluminium,3.566967724061953e-05
mining,Japan,processing,precious_metals,0.0005260937852241092
mining,Japan,processing,other_metals,0.003008974597012154
mining,Japan,processing,non_mining,0.019618105756968384
mining,Netherlands,processing,coal,1.8033914953176058e-09
mining,Netherlands,processing,nickel,0.0
mining,Netherlands,processing,iron,3.12607968719537e-05
mining,Netherlands,processing,copper,1.1789979365139832e-05
mining,Netherlands,processing,aluminium,2.1814119800481067e-05
mining,Netherlands,processing,precious_metals,9.9016271310451e-07
mining,Netherlands,processing,other_metals,2.221395885748903e-05
mining,Netherlands,processing,non_mining,0.0007169640416945822
mining,other,processing,coal,0.04535229829056824
mining,other,processing,nickel,0.001960564987188104
mining,other,processing,iron,0.08300968401308004
mining,other,processing,copper,0.011982731898185172
mining,other,processing,aluminium,0.013678640721700946
mining,other,processing,precious_metals,0.00796575525364605
mining,other,processing,other_metals,0.07358490800084906
mining,other,processing,non_mining,0.1390887132796213
processing,coal,consumption,nickel,2.822826825678695e-05
processing,coal,consumption,iron,0.06802578510680919
processing,coal,consumption,copper,0.005523491146580621
processing,coal,consumption,aluminium,0.008506952921082696
processing,coal,consumption,precious_metals,0.0035174916842424754
processing,coal,consumption,other_metals,0.020812469454956652
processing,nickel,consumption,nickel,0.0003836054647857421
processing,nickel,consumption,iron,0.0008803862816689428
processing,nickel,consumption,copper,0.00013765349240423957
