source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,coal,0.023222391931621414
mining,Australia,processing,nickel,0.003245817516737729
mining,Australia,processing,iron,0.04145145588016477
mining,Australia,processing,copper,0.005477677769671257
mining,Australia,processing,aluminium,0.033349370813943374
mining,Australia,processing,precious_metals,0.009351393761700832
mining,Australia,processing,other_metals,0.0075688779631426124
mining,Australia,processing,non_mining,0.0006790419604422957
mining,Brazil,processing,coal,0.00024277803879305538
mining,Brazil,processing,nickel,0.0009145521112067781
mining,Brazil,processing,iron,0.01712883555629501
mining,Brazil,processing,copper,0.001490319755687431
mining,Brazil,processing,aluminium,0.013613159395231096
mining,Brazil,processing,precious_metals,0.0022268792623109557
mining,Brazil,processing,other_metals,0.0009705575592438483
mining,Brazil,processing,non_mining,6.907641979313339e-05
mining,China,processing,coal,0.030565092936960754
mining,China,processing,nickel,0.0005875570684732036
mining,China,processing,iron,0.040813473158011586
mining,China,processing,copper,0.004783787551875141
mining,China,processing,aluminium,0.0120785018021352
mining,China,processing,precious_metals,0.007569197367801399
mining,China,processing,other_metals,0.009573856171844735
mining,China,processing,non_mining,0.00022831252741309688
mining,Indonesia,processing,coal,0.02477841464181737
mining,Indonesia,processing,nickel,0.005364549584166749
mining,Indonesia,processing,iron,0.0
mining,Indonesia,processing,copper,0.004983403715102061
mining,Indonesia,processing,aluminium,0.002559580932026249
mining,Indonesia,processing,precious_metals,0.00517268122583544
mining,Indonesia,processing,other_metals,0.0029283312753672847
mining,Indonesia,processing,non_mining,1.016488858865829e-05
mining,Japan,processing,coal,0.0
mining,Japan,processing,nickel,0.0
mining,Japan,processing,iron,0.0
mining,Japan,processing,copper,0.0
mining,Japan,processing,aluminium,0.0
mining,Japan,processing,precious_metals,0.00010679082431454711
mining,Japan,processing,other_metals,0.0
mining,Japan,processing,non_mining,0.0
mining,Netherlands,processing,coal,0.0
mining,Netherlands,processing,nickel,0.0
mining,Netherlands,processing,iron,0.0
mining,Netherlands,processing,copper,0.0
mining,Netherlands,processing,aluminium,0.0
mining,Netherlands,processing,precious_metals,0.0
mining,Netherlands,processing,other_metals,0.0
mining,Netherlands,processing,non_mining,0.0
mining,other,processing,coal,0.06325293005391264
mining,other,processing,nickel,0.03263993582039507
mining,other,processing,iron,0.08781513790059005
mining,other,processing,copper,0.19033156339837928
mining,other,processing,aluminium,0.0660608534340901
mining,other,processing,precious_metals,0.18144922983731343
mining,other,processing,other_metals,0.05988086666036453
mining,other,processing,non_mining,0.0054636015272359045
processing,coal,consumption,nickel,4.136599801070413e-05
processing,coal,consumption,iron,0.09307712475476186
processing,coal,consumption,copper,0.007493384681082675
processing,coal,consumption,aluminium,0.011812325931026173
processing,coal,consumption,precious_metals,0.005000184923373307
processing,coal,consumption,other_metals,0.024637221314850515
processing,nickel,consumption,nickel,0.007476754611116002
processing,nickel,consumption,iron,0.018544045589893404
processing,nickel,consumption,copper,0.0012001517588384326
processing,nickel,consumption,aluminium,0.002354777064515601
processing,nickel,consumption,precious_metals,0.0002787969310701298
processing,nickel,consumption,other_metals,0.012897886145545967
processing,iron,consumption,nickel,6.759523021661664e-06
processing,iron,consumption,iron,0.179401328773147
processing,iron,consumption,copper,0.002252799205686804
processing,iron,consumption,aluminium,0.0013944110205962785
processing,iron,consumption,precious_metals,0.0009581630965438985
processing,iron,consumption,other_metals,0.0031954408760657767
processing,copper,consumption,nickel,7.447318706992683e-05
processing,copper,consumption,iron,0.011557998990464812
processing,copper,consumption,copper,0.17670626196236316
processing,copper,consumption,aluminium,0.0029237336822784416
processing,copper,consumption,precious_metals,0.005832354971149275
processing,copper,consumption,other_metals,0.009971929397389565
processing,aluminium,consumption,nickel,4.112255311878265e-06
processing,aluminium,consumption,iron,0.005185135492303687
processing,aluminium,consumption,copper,0.0018958202981183899
processing,aluminium,consumption,aluminium,0.11753636114418413
processing,aluminium,consumption,precious_metals,0.0007119124236527623
processing,aluminium,consumption,other_metals,0.002328124763855142
processing,precious_metals,consumption,nickel,0.00022434771649776952
processing,precious_metals,consumption,iron,0.011965948431574358
processing,precious_metals,consumption,copper,0.01038682365629766
processing,precious_metals,consumption,aluminium,0.0024263992324969597
processing,precious_metals,consumption,precious_metals,0.17071211136879572
processing,precious_metals,consumption,other_metals,0.010160541873614136
processing,other_metals,consumption,nickel,0.00012816199920524484
processing,other_metals,consumption,iron,0.012172941332224125
processing,other_metals,consumption,copper,0.0025126394135040206
processing,other_metals,consumption,aluminium,0.002279952072762116
processing,other_metals,consumption,precious_metals,0.0011447179598541265
processing,other_metals,consumption,other_metals,0.06268407685241337
processing,non_mining,consumption,nickel,9.283975116041374e-06
processing,non_mining,consumption,iron,0.0020372908128198004
processing,non_mining,consumption,copper,0.0003373325203300708
processing,non_mining,consumption,aluminium,0.0006841530801157518
processing,non_mining,consumption,precious_metals,0.0003156194026633608
processing,non_mining,consumption,other_metals,0.003066517532428064
consumption,nickel,End-use,Australia,7.55935883674231e-05
consumption,nickel,End-use,Brazil,6.345937348562068e-05
consumption,nickel,End-use,China,2.4675689009404494e-06
