source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,coal,0.0
mining,Australia,processing,nickel,7.137076134747756e-08
mining,Australia,processing,iron,0.00023634289501629907
mining,Australia,processing,copper,7.4204398500305004e-06
mining,Australia,processing,aluminium,7.219683721116581e-06
mining,Australia,processing,precious_metals,1.341597580565322e-05
mining,Australia,processing,other_metals,1.1203536996073098e-05
mining,Australia,processing,non_mining,0.0029319194327047347
mining,Brazil,processing,coal,4.308801239629814e-08
mining,Brazil,processing,nickel,4.254921275260102e-07
mining,Brazil,processing,iron,0.002711847804635781
mining,Brazil,processing,copper,0.0002897494579233579
mining,Brazil,processing,aluminium,0.0005794806589362488
mining,Brazil,processing,precious_metals,2.2741738732357144e-05
mining,Brazil,processing,other_metals,0.0012280778643668873
mining,Brazil,processing,non_mining,0.0024840620950783714
mining,China,processing,coal,0.0
mining,China,processing,nickel,0.0
mining,China,processing,iron,0.3451683933100452
mining,China,processing,copper,0.0012605342322482135
mining,China,processing,aluminium,0.0005620624971152807
mining,China,processing,precious_metals,9.869977970525007e-09
mining,China,processing,other_metals,0.020198182285065414
mining,China,processing,non_mining,0.21552233053474876
mining,Indonesia,processing,coal,0.0
mining,Indonesia,processing,nickel,0.0
mining,Indonesia,processing,iron,0.0001645836998314534
mining,Indonesia,processing,copper,4.991053221043531e-08
mining,Indonesia,processing,aluminium,3.5538672190567954e-06
mining,Indonesia,processing,precious_metals,1.4359263685970168e-11
mining,Indonesia,processing,other_metals,4.2064409531175514e-05
mining,Indonesia,processing,non_mining,0.0009405832924904194
mining,Japan,processing,coal,0.0
mining,Japan,processing,nickel,0.0
mining,Japan,processing,iron,0.005871973253557105
mining,Japan,processing,copper,0.00016562945918852768
mining,Japan,processing,aluminium,8.937370667056843e-05
mining,Japan,processing,precious_metals,2.3686663129428432e-07
mining,Japan,processing,other_metals,0.0001708887315667314
mining,Japan,processing,non_mining,0.00044245688115748886
mining,Netherlands,processing,coal,0.0
mining,Netherlands,processing,nickel,0.0
mining,Netherlands,processing,iron,0.00012378309731456057
mining,Netherlands,processing,copper,1.4969205529915907e-05
mining,Netherlands,processing,aluminium,5.495148369987213e-06
mining,Netherlands,processing,precious_metals,3.792357787992708e-07
mining,Netherlands,processing,other_metals,1.0569975393514711e-05
mining,Netherlands,processing,non_mining,0.00022790406065131616
mining,other,processing,coal,0.00013039109077415763
mining,other,processing,nickel,4.4075135851921266e-05
mining,other,processing,iron,0.12667178388522524
mining,other,processing,copper,0.007847916626548868
mining,other,processing,aluminium,0.00861074397480479
mining,other,processing,precious_metals,0.0019168404292247507
mining,other,processing,other_metals,0.0074497455403356805
mining,other,processing,non_mining,0.24581847423759215
processing,coal,consumption,nickel,1.3233380929827193e-07
processing,coal,consumption,iron,7.868554674735427e-05
processing,coal,consumption,copper,6.074795055009262e-06
processing,coal,consumption,aluminium,9.792204733291454e-06
processing,coal,consumption,precious_metals,2.8823214785384835e-06
processing,coal,consumption,other_metals,3.286697696306216e-05
processing,nickel,consumption,nickel,1.5857731318930145e-05
processing,nickel,consumption,iron,1.695192093233816e-05
processing,nickel,consumption,copper,1.2011299556081177e-06
processing,nickel,consumption,aluminium,1.7737209234318282e-06
processing,nickel,consumption,precious_metals,5.741603880794873e-07
processing,nickel,consumption,other_metals,8.213335222407005e-06
processing,iron,consumption,nickel,5.947987994279079e-06
processing,iron,consumption,iron,0.4698360811838785
processing,iron,consumption,copper,0.0016621927503187228
