source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,Australia,749962.087636223
mining,Australia,processing,Brazil,184.89943652061004
mining,Australia,processing,China,9334.307420407626
mining,Australia,processing,Indonesia,1573.0982743915895
mining,Australia,processing,Japan,0.0
mining,Australia,processing,USA,0.0
mining,Australia,processing,EU27,7.90582266718183
mining,Australia,processing,other,1320.6683041654323
mining,Brazil,processing,Australia,29.997707912110048
mining,Brazil,processing,Brazil,183089.12100792967
mining,Brazil,processing,China,714.4937200921411
mining,Brazil,processing,Indonesia,323.9437031619135
mining,Brazil,processing,Japan,0.0
mining,Brazil,processing,USA,0.0
mining,Brazil,processing,EU27,3.251697940202493
mining,Brazil,processing,other,197.0327268854376
mining,China,processing,Australia,21.945983521332515
mining,China,processing,Brazil,22.55599167566256
mining,China,processing,China,41171.49889205903
mining,China,processing,Indonesia,38.84061903289307
mining,China,processing,Japan,0.0
mining,China,processing,USA,0.0
mining,China,processing,EU27,0.7883725955961781
mining,China,processing,other,138.7995549851199
mining,Indonesia,processing,Australia,252.00924123845638
mining,Indonesia,processing,Brazil,103.3197039800802
mining,Indonesia,processing,China,6488.112302548967
mining,Indonesia,processing,Indonesia,2571098.8180129505
mining,Indonesia,processing,Japan,0.0
mining,Indonesia,processing,USA,0.0
mining,Indonesia,processing,EU27,12.397972863541582
mining,Indonesia,processing,other,11553.16535547034
mining,Japan,processing,Australia,0.13992500053751383
mining,Japan,processing,Brazil,0.05393731876370868
mining,Japan,processing,China,1.1642975266421751
mining,Japan,processing,Indonesia,0.23519189874303179
mining,Japan,processing,Japan,0.0
mining,Japan,processing,USA,0.0
mining,Japan,processing,EU27,0.002638188823295665
mining,Japan,processing,other,1.5107026789099842
mining,USA,processing,Australia,45.820976904827376
mining,USA,processing,Brazil,90.57370474516514
mining,USA,processing,China,1595.2780923074913
mining,USA,processing,Indonesia,20.344379234980316
mining,USA,processing,Japan,0.0
mining,USA,processing,USA,0.0
mining,USA,processing,EU27,2.8862846917689122
mining,USA,processing,other,257.2046699012446
mining,EU27,processing,Australia,9.649276787000142
mining,EU27,processing,Brazil,10.598399320125923
mining,EU27,processing,China,1073.7656315505149
mining,EU27,processing,Indonesia,8.608321591493977
mining,EU27,processing,Japan,0.0
mining,EU27,processing,USA,0.0
mining,EU27,processing,EU27,242420.18835133564
mining,EU27,processing,other,43.03269959829296
mining,other,processing,Australia,1648.9356086707785
mining,other,processing,Brazil,1577.6898806461213
mining,other,processing,China,72450.18033238465
mining,other,processing,Indonesia,1236.8341251906566
mining,other,processing,Japan,0.0
mining,other,processing,USA,0.0
mining,other,processing,EU27,74.24676070494294
mining,other,processing,other,34220238.41311787
processing,Australia,consumption,Australia,92612.71134697107
processing,Australia,consumption,Brazil,12698.760245533276
processing,Australia,consumption,China,249955.48975121998
processing,Australia,consumption,Indonesia,11760.192076151077
processing,Australia,consumption,Japan,35305.76100750073
processing,Australia,consumption,USA,64035.524557782235
processing,Australia,consumption,EU27,54016.85383050426
processing,Australia,consumption,other,231585.29354059507
processing,Brazil,consumption,Australia,588.8115157330893
processing,Brazil,consumption,Brazil,108693.61803513281
processing,Brazil,consumption,China,17879.33863140473
processing,Brazil,consumption,Indonesia,616.4845877040029
processing,Brazil,consumption,Japan,2908.6272767175647
processing,Brazil,consumption,USA,16019.231797306522
processing,Brazil,consumption,EU27,10162.23589683902
processing,Brazil,consumption,other,28210.464321298525
processing,China,consumption,Australia,765.5058572309471
processing,China,consumption,Brazil,731.7757882387837
processing,China,consumption,China,94816.28320410424
processing,China,consumption,Indonesia,615.4895971744143
processing,China,consumption,Japan,2305.343100770825
