source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,Australia,866890193.3678647
mining,Australia,processing,Brazil,1738335.111943732
mining,Australia,processing,China,31033864.24937797
mining,Australia,processing,Indonesia,6442067.125347755
mining,Australia,processing,Japan,0.0
mining,Australia,processing,USA,0.0
mining,Australia,processing,EU27,79047.76824121774
mining,Australia,processing,other,16454690.1566612
mining,Brazil,processing,Australia,556018.1039393607
mining,Brazil,processing,Brazil,1226556853.388253
mining,Brazil,processing,China,11705944.978125513
mining,Brazil,processing,Indonesia,2624663.674720697
mining,Brazil,processing,Japan,0.0
mining,Brazil,processing,USA,0.0
mining,Brazil,processing,EU27,70046.0839100885
mining,Brazil,processing,other,11323833.560108708
mining,China,processing,Australia,28576437.362196676
mining,China,processing,Brazil,30209256.693243165
mining,China,processing,China,18175764417.371788
mining,China,processing,Indonesia,44851335.106079064
mining,China,processing,Japan,0.0
mining,China,processing,USA,0.0
mining,China,processing,EU27,923418.606960597
mining,China,processing,other,152260639.52798387
mining,Indonesia,processing,Australia,3886013.619129672
mining,Indonesia,processing,Brazil,1139236.7742950637
mining,Indonesia,processing,China,34300573.871547714
mining,Indonesia,processing,Indonesia,553287450.1512039
mining,Indonesia,processing,Japan,0.0
mining,Indonesia,processing,USA,0.0
mining,Indonesia,processing,EU27,158004.62796619983
mining,Indonesia,processing,other,75096996.75846894
mining,Japan,processing,Australia,4373222.0536114145
mining,Japan,processing,Brazil,2883091.289564692
mining,Japan,processing,China,33002633.95045937
mining,Japan,processing,Indonesia,13785431.912364213
mining,Japan,processing,Japan,0.0
mining,Japan,processing,USA,0.0
mining,Japan,processing,EU27,136085.36006349008
mining,Japan,processing,other,20817764.864270832
mining,USA,processing,Australia,4893904.04378644
mining,USA,processing,Brazil,14200708.373061903
mining,USA,processing,China,34705466.19873435
mining,USA,processing,Indonesia,5646880.285381071
mining,USA,processing,Japan,0.0
mining,USA,processing,USA,0.0
mining,USA,processing,EU27,418320.6936071113
mining,USA,processing,other,85199307.21415861
mining,EU27,processing,Australia,7554243.063970795
mining,EU27,processing,Brazil,10563390.891193224
mining,EU27,processing,China,57544540.89826524
mining,EU27,processing,Indonesia,35500104.06255597
mining,EU27,processing,Japan,0.0
mining,EU27,processing,USA,0.0
mining,EU27,processing,EU27,139210298.68225446
mining,EU27,processing,other,78019104.10697335
mining,other,processing,Australia,76178544.83086292
mining,other,processing,Brazil,80203609.06831194
