source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,Australia,141.73049351873286
mining,Australia,processing,Brazil,0.043257109853330415
mining,Australia,processing,China,1.86031194810105
mining,Australia,processing,Indonesia,0.29739461297351344
mining,Australia,processing,Japan,0.0
mining,Australia,processing,USA,0.0
mining,Australia,processing,EU27,0.0016222361321130802
mining,Australia,processing,other,0.31633236171125056
mining,Brazil,processing,Australia,0.006415384482811579
mining,Brazil,processing,Brazil,37.68063883989466
mining,Brazil,processing,China,0.15252441540344455
mining,Brazil,processing,Indonesia,0.06963653678403683
mining,Brazil,processing,Japan,0.0
mining,Brazil,processing,USA,0.0
mining,Brazil,processing,EU27,0.0006938691701177409
mining,Brazil,processing,other,0.0402929305518666
mining,China,processing,Australia,0.02079537412452488
mining,China,processing,Brazil,0.021366224869587197
mining,China,processing,China,29.42149780593535
mining,China,processing,Indonesia,0.036251730514287504
mining,China,processing,Japan,0.0
mining,China,processing,USA,0.0
mining,China,processing,EU27,0.0007049068312402523
mining,China,processing,other,0.1293574830464502
mining,Indonesia,processing,Australia,0.024795058497106073
mining,Indonesia,processing,Brazil,0.010405875427484336
mining,Indonesia,processing,China,0.6482022276217365
mining,Indonesia,processing,Indonesia,229.44230985946425
mining,Indonesia,processing,Japan,0.0
mining,Indonesia,processing,USA,0.0
mining,Indonesia,processing,EU27,0.001252097786470134
mining,Indonesia,processing,other,1.1873500941197355
mining,Japan,processing,Australia,4.714249856867621e-05
mining,Japan,processing,Brazil,1.8172163393593565e-05
mining,Japan,processing,China,0.00039226653044411864
mining,Japan,processing,Indonesia,7.923911886557437e-05
mining,Japan,processing,Japan,0.0
mining,Japan,processing,USA,0.0
mining,Japan,processing,EU27,8.888391091538333e-07
mining,Japan,processing,other,0.0005089747979605379
mining,USA,processing,Australia,0.04200100991245756
mining,USA,processing,Brazil,0.09254845379782405
mining,USA,processing,China,1.4819982256316535
mining,USA,processing,Indonesia,0.018848322908541798
mining,USA,processing,Japan,0.0
mining,USA,processing,USA,0.0
mining,USA,processing,EU27,0.0029934659913900827
mining,USA,processing,other,0.2625224772889768
mining,EU27,processing,Australia,0.007191007415324209
mining,EU27,processing,Brazil,0.00800187978357596
mining,EU27,processing,China,0.5914767786792001
mining,EU27,processing,Indonesia,0.006064610868546925
mining,EU27,processing,Japan,0.0
mining,EU27,processing,USA,0.0
mining,EU27,processing,EU27,65.54199020781618
mining,EU27,processing,other,0.033132904947843954
mining,other,processing,Australia,0.2785085381727873
mining,other,processing,Brazil,0.5172010505186265
mining,other,processing,China,15.544651856540838
mining,other,processing,Indonesia,0.3136461821749401
mining,other,processing,Japan,0.0
mining,other,processing,USA,0.0
mining,other,processing,EU27,0.02321612939456874
mining,other,processing,other,1250.848922665048
processing,Australia,consumption,Australia,17.502300657483573
processing,Australia,consumption,Brazil,2.3998597661388126
processing,Australia,consumption,China,47.23753434044651
processing,Australia,consumption,Indonesia,2.2224856017379073
processing,Australia,consumption,Japan,6.672216320062934
processing,Australia,consumption,USA,12.101675755621129
processing,Australia,consumption,EU27,10.208309448698039
processing,Australia,consumption,other,43.76586514364744
processing,Brazil,consumption,Australia,0.12208162408819614
processing,Brazil,consumption,Brazil,22.536063006903174
processing,Brazil,consumption,China,3.707024471196246
processing,Brazil,consumption,Indonesia,0.12781923872284284
processing,Brazil,consumption,Japan,0.6030621554111573
processing,Brazil,consumption,USA,3.321357993526335
processing,Brazil,consumption,EU27,2.1069938842973537
processing,Brazil,consumption,other,5.849035232163166
processing,China,consumption,Australia,0.28643222642382965
processing,China,consumption,Brazil,0.2738113187356734
processing,China,consumption,China,35.47776786140313
processing,China,consumption,Indonesia,0.23030007411972864
processing,China,consumption,Japan,0.8625989609187116
processing,China,consumption,USA,2.631786252899912
processing,China,consumption,EU27,2.0528247101288906
processing,China,consumption,other,7.885534119813846
processing,Indonesia,consumption,Australia,2.4999578263231297
processing,Indonesia,consumption,Brazil,0.6990241101870204
processing,Indonesia,consumption,China,21.20167648322802
processing,Indonesia,consumption,Indonesia,137.91107914575386
processing,Indonesia,consumption,Japan,26.329040637773954
processing,Indonesia,consumption,USA,7.684698585639434
processing,Indonesia,consumption,EU27,5.866741587545683
processing,Indonesia,consumption,other,27.99201271835587
processing,Japan,consumption,Australia,0.0
processing,Japan,consumption,Brazil,0.0
processing,Japan,consumption,China,0.0
processing,Japan,consumption,Indonesia,0.0
processing,Japan,consumption,Japan,0.0
processing,Japan,consumption,USA,0.0
processing,Japan,consumption,EU27,0.0
processing,Japan,consumption,other,0.0
processing,USA,consumption,Australia,0.0
processing,USA,consumption,Brazil,0.0
processing,USA,consumption,China,0.0
processing,USA,consumption,Indonesia,0.0
processing,USA,consumption,Japan,0.0
