source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,Australia,1.7686348979467348
mining,Australia,processing,Brazil,0.004817582159634298
mining,Australia,processing,China,0.12457768810084556
mining,Australia,processing,Indonesia,0.03763504636793816
mining,Australia,processing,Japan,0.0
mining,Australia,processing,USA,0.0
mining,Australia,processing,EU27,0.0006236502486537653
mining,Australia,processing,other,0.15272747926327065
mining,Brazil,processing,Australia,0.004921643597357358
mining,Brazil,processing,Brazil,1.8488070931451535
mining,Brazil,processing,China,0.09073867159043184
mining,Brazil,processing,Indonesia,0.018067716208455417
mining,Brazil,processing,Japan,0.0
mining,Brazil,processing,USA,0.0
mining,Brazil,processing,EU27,0.0004882382594380097
mining,Brazil,processing,other,0.08283645673536817
mining,China,processing,Australia,0.5022673191344671
mining,China,processing,Brazil,0.5920588507276986
mining,China,processing,China,42.781232903865636
mining,China,processing,Indonesia,0.9877288132523832
mining,China,processing,Japan,0.0
mining,China,processing,USA,0.0
mining,China,processing,EU27,0.01440086480253153
mining,China,processing,other,4.133858304713776
mining,Indonesia,processing,Australia,0.008277325239325202
mining,Indonesia,processing,Brazil,0.0028084581305239825
mining,Indonesia,processing,China,0.04548430815680088
mining,Indonesia,processing,Indonesia,1.8863382188921567
mining,Indonesia,processing,Japan,0.0
mining,Indonesia,processing,USA,0.0
mining,Indonesia,processing,EU27,0.0008672142608150019
mining,Indonesia,processing,other,0.06327471608895653
mining,Japan,processing,Australia,0.005054317502555422
mining,Japan,processing,Brazil,0.002713561418972094
mining,Japan,processing,China,0.037706202341789126
mining,Japan,processing,Indonesia,0.009645791614681452
mining,Japan,processing,Japan,0.0
mining,Japan,processing,USA,0.0
mining,Japan,processing,EU27,7.545386012883572e-05
mining,Japan,processing,other,0.052430753614103896
mining,USA,processing,Australia,0.10624450938435952
mining,USA,processing,Brazil,0.1627155929930468
mining,USA,processing,China,3.0483518145895774
mining,USA,processing,Indonesia,0.2653878891968533
mining,USA,processing,Japan,0.0
mining,USA,processing,USA,0.0
mining,USA,processing,EU27,0.008592443110704652
mining,USA,processing,other,3.3012115619137488
mining,EU27,processing,Australia,0.043996547303383274
mining,EU27,processing,Brazil,0.06879549715321114
mining,EU27,processing,China,0.22464275106301201
mining,EU27,processing,Indonesia,0.07735767209949809
mining,EU27,processing,Japan,0.0
mining,EU27,processing,USA,0.0
mining,EU27,processing,EU27,0.07459040084159894
mining,EU27,processing,other,0.5829785609617891
mining,other,processing,Australia,1.372654366037426
mining,other,processing,Brazil,0.9198985254269101
mining,other,processing,China,11.573855892686744
mining,other,processing,Indonesia,3.5221919790066556
mining,other,processing,Japan,0.0
mining,other,processing,USA,0.0
mining,other,processing,EU27,0.27903551463848003
mining,other,processing,other,67.1012118829944
processing,Australia,consumption,Australia,0.4694922626878078
processing,Australia,consumption,Brazil,0.06437528492896659
processing,Australia,consumption,China,1.2671280944889156
processing,Australia,consumption,Indonesia,0.059617293427356007
processing,Australia,consumption,Japan,0.17897955237727325
processing,Australia,consumption,USA,0.32462264498875537
processing,Australia,consumption,EU27,0.2738338459085557
processing,Australia,consumption,other,1.1740019473379786
processing,Brazil,consumption,Australia,0.011461394581085832
processing,Brazil,consumption,Brazil,2.115754212441731
processing,Brazil,consumption,China,0.34802674442983006
processing,Brazil,consumption,Indonesia,0.012000059312760682
processing,Brazil,consumption,Japan,0.05661731134158201
processing,Brazil,consumption,USA,0.31181920123660534
processing,Brazil,consumption,EU27,0.19781100119065015
processing,Brazil,consumption,other,0.5491252366209045
processing,China,consumption,Australia,0.3338368176355017
processing,China,consumption,Brazil,0.31912714718085416
processing,China,consumption,China,41.349345594014345
processing,China,consumption,Indonesia,0.26841478281004677
processing,China,consumption,Japan,1.0053592628320116
processing,China,consumption,USA,3.0673474082659102
processing,China,consumption,EU27,2.3925676134601863
processing,China,consumption,other,9.190591606195792
processing,Indonesia,consumption,Australia,0.07389991821377304
processing,Indonesia,consumption,Brazil,0.020663478410855116
processing,Indonesia,consumption,China,0.6267314358697946
processing,Indonesia,consumption,Indonesia,4.076715759895016
processing,Indonesia,consumption,Japan,0.7782987093987522
processing,Indonesia,consumption,USA,0.22716327091465435
processing,Indonesia,consumption,EU27,0.1734236149649864
processing,Indonesia,consumption,other,0.8274569389707847
processing,Japan,consumption,Australia,0.0
processing,Japan,consumption,Brazil,0.0
processing,Japan,consumption,China,0.0
processing,Japan,consumption,Indonesia,0.0
processing,Japan,consumption,Japan,0.0
processing,Japan,consumption,USA,0.0
processing,Japan,consumption,EU27,0.0
processing,Japan,consumption,other,0.0
processing,USA,consumption,Australia,0.0
processing,USA,consumption,Brazil,0.0
processing,USA,consumption,China,0.0
processing,USA,consumption,Indonesia,0.0
processing,USA,consumption,Japan,0.0
processing,USA,consumption,USA,0.0
processing,USA,consumption,EU27,0.0
processing,USA,consumption,other,0.0
processing,EU27,consumption,Australia,0.0035846628604952334
processing,EU27,consumption,Brazil,0.00390086346291463
processing,EU27,consumption,China,0.11555202829168448
processing,EU27,consumption,Indonesia,0.003063512155724913
processing,EU27,consumption,Japan,0.006650369090034925
processing,EU27,consumption,USA,0.024921331671502032
processing,EU27,consumption,EU27,0.11988690991310054
processing,EU27,consumption,other,0.10111410257689395
processing,other,consumption,Australia,0.6039572762491381
processing,other,consumption,Brazil,0.5736301709658167
processing,other,consumption,China,17.665873268794673
processing,other,consumption,Indonesia,0.5816331313506532
processing,other,consumption,Japan,1.886359419523448
processing,other,consumption,USA,3.82201693002062
processing,other,consumption,EU27,6.56285319467623
processing,other,consumption,other,43.77420632470492
consumption,Australia,End-use,agrifood,0.04157242081605121
consumption,Australia,End-use,mining,0.03959457624522168
consumption,Australia,End-use,manufacturing,0.2492385386387702
consumption,Australia,End-use,machinery_electronics,0.22005085765938395
consumption,Australia,End-use,auto,0.1797694106050262
consumption,Australia,End-use,electricity,0.010236511260945559
consumption,Australia,End-use,gas_water,0.0010430270209245691
consumption,Australia,End-use,construction,0.3662698426428833
consumption,Australia,End-use,service,0.3035794129522984
consumption,Australia,End-use,transportation,0.041085168686026075
consumption,Australia,End-use,waste,0.010813747816161639
consumption,Australia,End-use,other_sec,0.03297881788410867
consumption,Brazil,End-use,agrifood,0.13141100252744164
consumption,Brazil,End-use,mining,0.10229612914128702
consumption,Brazil,End-use,manufacturing,0.6402964563504651
consumption,Brazil,End-use,machinery_electronics,0.8785751720386775
consumption,Brazil,End-use,auto,0.4854285959914554
consumption,Brazil,End-use,electricity,0.003822541295442698
consumption,Brazil,End-use,gas_water,0.0013729290541255985
consumption,Brazil,End-use,construction,0.5260117500815087
consumption,Brazil,End-use,service,0.24452571935299042
consumption,Brazil,End-use,transportation,0.05034835885162293
consumption,Brazil,End-use,waste,0.02322216240513473
consumption,Brazil,End-use,other_sec,0.010140340300986383
consumption,China,End-use,agrifood,0.5821737824060638
consumption,China,End-use,mining,0.14478239344862662
consumption,China,End-use,manufacturing,2.5360407469158197
consumption,China,End-use,machinery_electronics,14.202843660175512
consumption,China,End-use,auto,5.912803754706479
consumption,China,End-use,electricity,0.02767061636192198
consumption,China,End-use,gas_water,0.05149692187525523
consumption,China,End-use,construction,32.04111501467423
consumption,China,End-use,service,5.014780155921436
consumption,China,End-use,transportation,0.12935158102744898
consumption,China,End-use,waste,0.0011744980781026241
consumption,China,End-use,other_sec,0.7284240402983858
consumption,Indonesia,End-use,agrifood,0.045212744078814815
consumption,Indonesia,End-use,mining,1.0813522037652248
consumption,Indonesia,End-use,manufacturing,0.634746063616029
